last,first,sex,ro,event,qt,time,time_m,time_s,time_f,date,comp,comploc
KOBRICH,Kristel,Female,CHI,Women Freestyle 800m,U,08:35:64,8,35,64,15/04/2023,2023 TYR Pro Series IL,USA
PETROVSKA,Eva,Female,MKD,Women Freestyle 800m,U,08:59:02,8,59,2,11/03/2023,Serbian Open 2023,SRB
BOULAKBECH,Jamila,Female,TUN,Women Freestyle 800m,U,09:03:02,9,3,2,13/05/2023,Mare Nostrum - Meeting International de Canet-en-Roussillon 2023,FRA
DOUGLASS,Kate,Female,USA,Women Medley 200m,OQT,02:06:79,2,6,79,22/06/2024,US Olympic Team Trials 2024,USA
McINTOSH,Summer,Female,CAN,Women Medley 200m,OQT,02:06:89,2,6,89,30/03/2023,Bell Canadian Swimming Trials 2023,CAN
McKEOWN,Kaylee,Female,AUS,Women Medley 200m,OQT,02:06:99,2,6,99,17/04/2024,Australian National Championships (50m),AUS
WALSH,Alex,Female,USA,Women Medley 200m,OQT,02:07:63,2,7,63,13/01/2024,TYR Pro Swim Series Knoxville 2024,USA
PICKREM,Sydney,Female,CAN,Women Medley 200m,OQT,02:07:68,2,7,68,19/05/2024,Bell Canadian Olympic & Paralympic Trials 2024,CAN
YU,Yiting,Female,CHN,Women Medley 200m,OQT,02:07:75,2,7,75,25/09/2023,19th Asian Games 2023,CHN
GORBENKO,Anastasia,Female,ISR,Women Medley 200m,OQT,02:08:55,2,8,55,29/05/2024,Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2024,ESP
STEENBERGEN,Marrit,Female,NED,Women Medley 200m,OQT,02:08:86,2,8,86,13/04/2024,Eindhoven Qualification Meet 2024,NED
WOOD,Abbie,Female,GBR,Women Medley 200m,OQT,02:08:91,2,8,91,06/04/2024,British National Championships (50m),GBR
OHASHI,Yui,Female,JPN,Women Medley 200m,OQT,02:09:17,2,9,17,24/03/2024,Japan Selection Trial for Olympic Games 2024,JPN
FRANCESCHI,Sara,Female,ITA,Women Medley 200m,OQT,02:09:30,2,9,30,25/06/2023,59th International Trophy Sette Colli,ITA
YE,Shiwen,Female,CHN,Women Medley 200m,OQT,02:09:81,2,9,81,23/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
MATSUMOTO,Shiho,Female,JPN,Women Medley 200m,OQT,02:09:90,2,9,90,24/03/2024,Japan Selection Trial for Olympic Games 2024,JPN
BONNET,Charlotte,Female,FRA,Women Medley 200m,OQT,02:10:24,2,10,24,11/02/2024,World Aquatics Championships - Doha 2024,QAT
KIM,Seoyeong,Female,KOR,Women Medley 200m,OQT,02:10:36,2,10,36,25/09/2023,19th Asian Games 2023,CHN
COLBERT,Freya,Female,GBR,Women Medley 200m,OQT,02:10:46,2,10,46,06/04/2024,British National Championships (50m),GBR
RAMSAY,Ella,Female,AUS,Women Medley 200m,OQT,02:10:71,2,10,71,17/04/2024,Australian National Championships (50m),AUS
SEBESTYEN,Dalma,Female,HUN,Women Medley 200m,OQT,02:10:87,2,10,87,15/12/2023,16th Gyor Open,HUN
WALSHE,Ellen,Female,IRL,Women Medley 200m,OQT,02:10:92,2,10,92,23/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
MEDER,Rebecca,Female,RSA,Women Medley 200m,OQT,02:10:95,2,10,95,23/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
CARRASCO CADENS,Emma,Female,ESP,Women Medley 200m,OQT,02:11:11,2,11,11,21/06/2024,Spanish Summer Open Championships - Spanish Trials,ESP
POLONSKY,Lea,Female,ISR,Women Medley 200m,OQT,02:11:18,2,11,18,22/06/2024,European Championships 2024,SRB
SEEMANOVA,Barbora,Female,CZE,Women Medley 200m,OQT,02:11:25,2,11,25,27/05/2024,AP Race London International 2024,GBR
KREUNDL,Lena,Female,AUT,Women Medley 200m,U,02:13:09,2,13,9,18/04/2024,ATUS Trophy 2024,AUT
ROMANO,Kristen Elena,Female,PUR,Women Medley 200m,U,02:13:33,2,13,33,11/02/2024,World Aquatics Championships - Doha 2024,QAT
POTOCKA,Tamara,Female,SVK,Women Medley 200m,U,02:13:53,2,13,53,29/05/2024,Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2024,ESP
HAN,An-Chi,Female,TPE,Women Medley 200m,U,02:14:10,2,14,10,13/06/2024,National Zong Cheng Cup,TPE
MALUKA,Ieva,Female,LAT,Women Medley 200m,U,02:14:18,2,14,18,30/11/2023,Toyota US Open 2023,USA
de BEVER,McKenna,Female,PER,Women Medley 200m,U,02:14:70,2,14,70,18/05/2024,Atlanta Classic 2024,USA
FRANK,Nicole,Female,URU,Women Medley 200m,U,02:15:66,2,15,66,22/06/2024,Bahamas National Championships (50m),BAH
VO,Thi My Tien,Female,VIE,Women Medley 200m,U,02:17:26,2,17,26,26/02/2024,11th Asian Age Group Championships 2024,PHI
PERMATAHANI,Azzahra,Female,INA,Women Medley 200m,U,02:18:47,2,18,47,07/05/2023,32nd Southeast Asian Games 2023,CAM
TARAZI,Valerie Rose,Female,PLE,Women Medley 200m,U,02:20:57,2,20,57,25/09/2023,19th Asian Games 2023,CHN
PINA,Jayla,Female,CPV,Women Medley 200m,U,02:25:26,2,25,26,04/05/2024,16th Africa Aquatics Swimming & Open Water Championships,ANG
McINTOSH,Summer,Female,CAN,Women Medley 400m,OQT,04:24:38,4,24,38,16/05/2024,Bell Canadian Olympic & Paralympic Trials 2024,CAN
GRIMES,Katie,Female,USA,Women Medley 400m,OQT,04:31:41,4,31,41,30/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
FORRESTER,Jenna,Female,AUS,Women Medley 400m,OQT,04:32:30,4,32,30,30/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
COLBERT,Freya,Female,GBR,Women Medley 400m,OQT,04:34:01,4,34,1,04/04/2024,British National Championships (50m),GBR
GORBENKO,Anastasia,Female,ISR,Women Medley 400m,OQT,04:34:87,4,34,87,01/06/2024,Mare Nostrum - 41st Meeting International de Natation de Monte Carlo 2024,MON
JACKL,Vivien,Female,HUN,Women Medley 400m,OQT,04:34:96,4,34,96,11/04/2024,Hungarian National Championships (50m),HUN
NARITA,Mio,Female,JPN,Women Medley 400m,OQT,04:35:40,4,35,40,19/03/2024,Japan Selection Trial for Olympic Games 2024,JPN
WEYANT,Emma,Female,USA,Women Medley 400m,OQT,04:35:56,4,35,56,17/06/2024,US Olympic Team Trials 2024,USA
TANIGAWA,Ageha,Female,JPN,Women Medley 400m,OQT,04:35:60,4,35,60,19/03/2024,Japan Selection Trial for Olympic Games 2024,JPN
FRANCESCHI,Sara,Female,ITA,Women Medley 400m,OQT,04:35:98,4,35,98,13/04/2023,Italian National Championships (50m),ITA
RAMSAY,Ella,Female,AUS,Women Medley 400m,OQT,04:36:56,4,36,56,15/06/2024,Australian Olympic & Paralympic Trials,AUS
SHANAHAN,Katie,Female,GBR,Women Medley 400m,OQT,04:36:67,4,36,67,04/04/2024,British National Championships (50m),GBR
WALSHE,Ellen,Female,IRL,Women Medley 400m,OQT,04:37:18,4,37,18,22/06/2024,60th International Trophy Sette Colli,ITA
JANSEN,Ella,Female,CAN,Women Medley 400m,OQT,04:37:35,4,37,35,04/09/2023,World Aquatics Junior Swimming Championships 2023,ISR
CARRASCO CADENS,Emma,Female,ESP,Women Medley 400m,OQT,04:37:75,4,37,75,23/02/2024,Spanish Winter Open Swimming Championships,ESP
CREVAR,Anja,Female,SRB,Women Medley 400m,OCT,04:38:93,4,38,93,18/02/2024,World Aquatics Championships - Doha 2024,QAT
